,key_source,key_bits,file_size_B,encrypt_time_s_mean,encrypt_time_s_std,decrypt_time_s_mean,decrypt_time_s_std,throughput_MBps,ciphertext_len_B,overhead_B,keygen_time_s,bb84_rounds,bb84_qber_last,key_ones_ratio
0,classical,128,10240,0.00021604333339079554,6.162587860745369e-05,0.00041222233357984805,0.0002769536562659403,45.202158505558685,10268,28,8.249000075011281e-06,0,,0.4375
1,quantum,128,10240,0.0001575763333979315,5.339651329165758e-05,0.0001235906665897346,1.84738461043102e-05,61.97393218522619,10268,28,84.07559708100007,2,0.0,0.484375
2,classical,128,102400,0.00033690233325008495,3.4626288405085956e-05,0.00033086633326699183,2.73039786230375e-05,289.86516376397157,102428,28,7.22699996913434e-06,0,,0.5234375
3,quantum,128,102400,0.00036777033331721515,8.783379890019438e-05,0.0003328279999550432,2.3541313252907375e-05,265.5359640326616,102428,28,76.27305496300005,2,0.0,0.5
4,classical,128,1048576,0.00265809100013333,0.00016721480578124173,0.002894004333332608,0.00025737191747268387,376.209843812661,1048604,28,1.2054999842803227e-05,0,,0.515625
5,quantum,128,1048576,0.002610205999947842,0.0001625988487486842,0.0025433596667123006,5.0628482847010954e-05,383.11152453866947,1048604,28,38.077004063000004,1,0.0,0.5078125
6,classical,192,10240,0.00011572333338942069,2.827988147760635e-05,0.00013046200001554098,2.668295558830322e-05,84.38769186796311,10268,28,6.827000106568448e-06,0,,0.5416666666666666
7,quantum,192,10240,0.00019701200017152587,6.905208424227699e-05,0.00020379699996434889,3.743350228255575e-05,49.56868105241147,10268,28,77.36252759200033,2,0.0,0.4322916666666667
8,classical,192,102400,0.0005113233332849632,4.849396873721293e-05,0.000533542666592742,2.4787354047337944e-05,190.98727486698846,102428,28,6.429000222851755e-06,0,,0.53125
9,quantum,192,102400,0.0003781329999886414,7.123247307507095e-05,0.00035202900032042333,3.0063371446282552e-05,258.25899882563397,102428,28,78.14514653600008,2,0.0,0.5104166666666666
10,classical,192,1048576,0.0026975450001979575,0.0001888410154350349,0.0026858603332584607,7.93082384989029e-05,370.70743951504636,1048604,28,9.247000434697839e-06,0,,0.5104166666666666
11,quantum,192,1048576,0.0026705810000748897,0.00017204960008354134,0.00261379200007165,5.363089540684146e-05,374.4503536765811,1048604,28,76.62133519200006,2,0.0,0.5052083333333334
12,classical,256,10240,0.00012018800013417301,2.549349961055582e-05,0.00013366333329637806,2.5141651312874973e-05,81.25291201366237,10268,28,0.00025817499999902793,0,,0.54296875
13,quantum,256,10240,0.00013649633334959313,5.863192290733228e-05,0.00012877966673841001,1.8110022936642204e-05,71.5449621272124,10268,28,76.78867564899974,2,0.0,0.5078125
14,classical,256,102400,0.0003348203331370314,6.301615960022958e-05,0.0003484313333501632,2.2827762040260843e-05,291.66762091486356,102428,28,5.329000032361364e-06,0,,0.4609375
15,quantum,256,102400,0.0003724486667427603,7.032302639522663e-05,0.000343670666552498,3.2014821471062216e-05,262.2005627085474,102428,28,115.49792417599974,3,0.0,0.48828125
16,classical,256,1048576,0.002706294999976914,0.00018435720659110304,0.002769990333338986,0.00012906583697920622,369.50886729219485,1048604,28,8.315999821206788e-06,0,,0.5
17,quantum,256,1048576,0.002809538999827055,0.0002668847812343539,0.0027898166664878468,4.7310445928588976e-05,355.9302789751473,1048604,28,114.70716782299996,3,0.0,0.5234375
